ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Dilema_Opcion,Categoria,Respuesta,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Cooperar,SDO_Score,NDC_Score,Gap_Size
Suj_006,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,2400.0
Suj_006,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,1000.0
Suj_006,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,1000.0
Suj_006,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,1200.0
Suj_006,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,1200.0
Suj_006,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3,1,0,0,Mujer,3,5,,2.6,3.8333333333333335,
Suj_007,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,0.0
Suj_007,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,0.0
Suj_007,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,2000.0
Suj_007,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,2400.0
Suj_007,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,1000.0
Suj_007,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,1200.0
Suj_007,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3,1,1,1,Mujer,2,7,,1.5,4.666666666666667,
Suj_007,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,0.0
Suj_007,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,0.0
Suj_007,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,0.0
Suj_007,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,0.0
Suj_007,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,2000.0
Suj_007,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,2000.0
Suj_007,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,2400.0
Suj_007,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,2400.0
Suj_007,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,1000.0
Suj_007,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,1000.0
Suj_007,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,No cooperar,1,1,1,Mujer,2,7,0.0,1.5,4.666666666666667,1200.0
Suj_007,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,Cooperar,1,1,1,Mujer,2,7,1.0,1.5,4.666666666666667,1200.0
Suj_007,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3,1,1,1,Mujer,2,7,,1.5,4.666666666666667,
Suj_008,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,0.0
Suj_008,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,0.0
Suj_008,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,2000.0
Suj_008,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,2400.0
Suj_008,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,1000.0
Suj_008,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,1200.0
Suj_008,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3,0,-1,-1,Hombre,6,5,,2.9,5.333333333333333,
Suj_008,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,0.0
Suj_008,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,0.0
Suj_008,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,Cooperar,0,-1,-1,Hombre,6,5,1.0,2.9,5.333333333333333,0.0
Suj_008,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,0.0
Suj_008,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,2000.0
Suj_008,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,2000.0
Suj_008,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,2400.0
Suj_008,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,2400.0
Suj_008,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,1000.0
Suj_008,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,1000.0
Suj_008,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,1200.0
Suj_008,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,No cooperar,0,-1,-1,Hombre,6,5,0.0,2.9,5.333333333333333,1200.0
Suj_008,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3,0,-1,-1,Hombre,6,5,,2.9,5.333333333333333,
Suj_009,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar,1,-1,-1,Hombre,6,8,1.0,3.5,4.833333333333333,0.0
Suj_009,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,0.0
Suj_009,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar,1,-1,-1,Hombre,6,8,1.0,3.5,4.833333333333333,2000.0
Suj_009,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,2400.0
Suj_009,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,1000.0
Suj_009,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,1200.0
Suj_009,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3,1,-1,-1,Hombre,6,8,,3.5,4.833333333333333,
Suj_009,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,0.0
Suj_009,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,0.0
Suj_009,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,0.0
Suj_009,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,Cooperar,1,-1,-1,Hombre,6,8,1.0,3.5,4.833333333333333,0.0
Suj_009,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,2000.0
Suj_009,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,2000.0
Suj_009,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,2400.0
Suj_009,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,No cooperar,1,-1,-1,Hombre,6,8,0.0,3.5,4.833333333333333,2400.0
