ID_Sujeto,Origen_Form,Identidad,Dilema,Orden_1,Bloque,Orden_2,Respuesta,Mantiene,SDO_Score,NDC_Score,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Gap_Size,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0.0,Promedio_Gap_1000.0,Promedio_Gap_1200.0,Promedio_Gap_2000.0,Promedio_Gap_2400.0,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Tratamiento,Mantiene_bin,NDC_c,SDO_c,pol_c,nse_c,Gen_mujer,Gap,Gap0,Gap_pos
Suj_001,Respuestas de formulario 1,ABC,Bloque_CON,1,Bloque_1,1,Opción 2,0,2.1,3.5,0,-1,-1,Hombre,3,4,0.0,0,-1,-1,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,Bloque_CON,0,-0.3759398496240478,-0.017293233082713133,-0.7218045112781954,-1.5714285714285712,0,0.0,1,
Suj_001,Respuestas de formulario 1,AEF,Bloque_CON,1,Bloque_5,2,Opción 2,0,2.1,3.5,0,-1,-1,Hombre,3,4,2000.0,0,-1,-1,-1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,Bloque_CON,0,-0.3759398496240478,-0.017293233082713133,-0.7218045112781954,-1.5714285714285712,0,2000.0,0,0.35
Suj_001,Respuestas de formulario 1,AJK,Bloque_CON,1,Bloque_7,3,Opción 2,0,2.1,3.5,0,-1,-1,Hombre,3,4,2400.0,0,-1,-1,-1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,Bloque_CON,0,-0.3759398496240478,-0.017293233082713133,-0.7218045112781954,-1.5714285714285712,0,2400.0,0,0.75
Suj_001,Respuestas de formulario 1,AGH,Bloque_CON,1,Bloque_3,4,Opción 2,0,2.1,3.5,0,-1,-1,Hombre,3,4,0.0,0,-1,-1,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,Bloque_CON,0,-0.3759398496240478,-0.017293233082713133,-0.7218045112781954,-1.5714285714285712,0,0.0,1,
Suj_001,Respuestas de formulario 1,ALM,Bloque_CON,1,Bloque_9,5,Opción 1,1,2.1,3.5,0,-1,-1,Hombre,3,4,1000.0,0,-1,-1,-1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,Bloque_CON,1,-0.3759398496240478,-0.017293233082713133,-0.7218045112781954,-1.5714285714285712,0,1000.0,0,-0.65
Suj_001,Respuestas de formulario 1,AQS,Bloque_CON,1,Bloque_11,6,Opción 2,0,2.1,3.5,0,-1,-1,Hombre,3,4,1200.0,0,-1,-1,-1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,Bloque_CON,0,-0.3759398496240478,-0.017293233082713133,-0.7218045112781954,-1.5714285714285712,0,1200.0,0,-0.45
Suj_003,Respuestas de formulario 1,ABC,Bloque_CON,1,Bloque_1,1,Opción 1,1,1.5,3.8333333333333335,-1,-1,-1,Mujer,1,5,0.0,-1,-1,-1,-1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,1,-0.042606516290714325,-0.6172932330827132,-2.7218045112781954,-0.5714285714285712,1,0.0,1,
Suj_003,Respuestas de formulario 1,AEF,Bloque_CON,1,Bloque_5,2,Opción 2,0,1.5,3.8333333333333335,-1,-1,-1,Mujer,1,5,2000.0,-1,-1,-1,-1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,0,-0.042606516290714325,-0.6172932330827132,-2.7218045112781954,-0.5714285714285712,1,2000.0,0,0.35
Suj_003,Respuestas de formulario 1,AJK,Bloque_CON,1,Bloque_7,3,Opción 2,0,1.5,3.8333333333333335,-1,-1,-1,Mujer,1,5,2400.0,-1,-1,-1,-1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,0,-0.042606516290714325,-0.6172932330827132,-2.7218045112781954,-0.5714285714285712,1,2400.0,0,0.75
Suj_003,Respuestas de formulario 1,AGH,Bloque_CON,1,Bloque_3,4,Opción 1,1,1.5,3.8333333333333335,-1,-1,-1,Mujer,1,5,0.0,-1,-1,-1,-1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,1,-0.042606516290714325,-0.6172932330827132,-2.7218045112781954,-0.5714285714285712,1,0.0,1,
Suj_003,Respuestas de formulario 1,ALM,Bloque_CON,1,Bloque_9,5,Opción 2,0,1.5,3.8333333333333335,-1,-1,-1,Mujer,1,5,1000.0,-1,-1,-1,-1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,0,-0.042606516290714325,-0.6172932330827132,-2.7218045112781954,-0.5714285714285712,1,1000.0,0,-0.65
Suj_003,Respuestas de formulario 1,AQS,Bloque_CON,1,Bloque_11,6,Opción 2,0,1.5,3.8333333333333335,-1,-1,-1,Mujer,1,5,1200.0,-1,-1,-1,-1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,0,-0.042606516290714325,-0.6172932330827132,-2.7218045112781954,-0.5714285714285712,1,1200.0,0,-0.45
Suj_004,Respuestas de formulario 1,ABC,Bloque_CON,1,Bloque_1,1,Opción 2,0,3.3,4.333333333333333,0,1,1,Mujer,6,6,0.0,0,1,1,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,0,0.45739348370928523,1.1827067669172866,2.2781954887218046,0.4285714285714288,1,0.0,1,
Suj_004,Respuestas de formulario 1,AEF,Bloque_CON,1,Bloque_5,2,Opción 2,0,3.3,4.333333333333333,0,1,1,Mujer,6,6,2000.0,0,1,1,1.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,0,0.45739348370928523,1.1827067669172866,2.2781954887218046,0.4285714285714288,1,2000.0,0,0.35
Suj_004,Respuestas de formulario 1,AJK,Bloque_CON,1,Bloque_7,3,Opción 1,1,3.3,4.333333333333333,0,1,1,Mujer,6,6,2400.0,0,1,1,1.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Bloque_CON,1,0.45739348370928523,1.1827067669172866,2.2781954887218046,0.4285714285714288,1,2400.0,0,0.75
