ID_Sujeto,Origen_Form,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Genero,politica,nivel_se,SDO_Score,NDC_Score
Suj_033,Respuestas de formulario 3,1,-1,1,1,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,Mujer,2,4,1.0,4.666666666666667
Suj_034,Respuestas de formulario 3,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hombre,2,4,1.0,5.666666666666667
Suj_035,Respuestas de formulario 3,1,1,1,1,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,0.16666666666666666,0.5,0.6666666666666666,-0.33333333333333337,-0.16666666666666663,Mujer,3,2,1.6,4.0
Suj_036,Respuestas de formulario 3,0,-1,-1,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,-0.16666666666666666,Mujer,6,8,2.1,4.833333333333333
Suj_037,Respuestas de formulario 3,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mujer,4,3,1.4,3.3333333333333335
Suj_038,Respuestas de formulario 3,-1,-1,-1,-1,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.5,0.16666666666666666,Mujer,4,4,3.0,4.333333333333333
Suj_039,Respuestas de formulario 3,0,0,1,0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.8333333333333334,0.6666666666666666,-0.33333333333333337,0.16666666666666674,Mujer,4,3,2.4,4.166666666666667
Suj_040,Respuestas de formulario 4,-1,-1,-1,-1,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.16666666666666666,0.0,Hombre,6,7,3.8,4.833333333333333
Suj_041,Respuestas de formulario 4,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,Mujer,1,3,1.5,4.333333333333333
Suj_044,Respuestas de formulario 4,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mujer,4,5,1.4,4.833333333333333
Suj_045,Respuestas de formulario 4,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mujer,5,5,2.8,3.6666666666666665
Suj_047,Respuestas de formulario 4,-1,0,0,0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,-0.6666666666666666,Mujer,5,6,2.3,4.833333333333333
Suj_048,Respuestas de formulario 4,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mujer,4,5,1.2,5.0
Suj_049,Respuestas de formulario 5,0,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Mujer,4,8,1.7,3.8333333333333335
Suj_050,Respuestas de formulario 5,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Hombre,1,6,2.2,4.0
Suj_051,Respuestas de formulario 5,0,-1,1,-1,0.16666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5,0.8333333333333334,0.5,-0.33333333333333337,0.33333333333333337,Hombre,4,7,3.6,5.333333333333333
Suj_052,Respuestas de formulario 5,1,-1,-1,-1,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,Mujer,4,4,2.1,4.666666666666667
Suj_053,Respuestas de formulario 5,1,-1,1,-1,0.8333333333333334,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.5,0.3333333333333333,-0.33333333333333337,0.16666666666666669,Mujer,3,2,1.1,4.166666666666667
Suj_054,Respuestas de formulario 5,1,-1,1,-1,1.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0.16666666666666674,Mujer,5,7,2.3,5.5
Suj_057,Respuestas de formulario 5,0,-1,0,-1,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,-0.33333333333333337,Hombre,6,8,2.2,5.0
Suj_058,Respuestas de formulario 5,0,-1,-1,-1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,-0.16666666666666666,Mujer,5,6,2.2,4.833333333333333
Suj_059,Respuestas de formulario 5,-1,-1,-1,-1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.16666666666666666,0.0,Hombre,2,6,1.3,5.333333333333333
Suj_060,Respuestas de formulario 5,1,1,1,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,1.0,0.0,-0.16666666666666663,Hombre,3,5,1.4,4.5
Suj_062,Respuestas de formulario 6,-1,-1,1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Mujer,4,6,2.6,4.166666666666667
Suj_063,Respuestas de formulario 6,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Hombre,5,3,3.0,3.6666666666666665
