ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Categoria,Respuesta,Mantiene,SDO_Score,NDC_Score,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Gap_Size,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Tratamiento
Suj_026,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 1,1,2.4,5.166666666666667,1,1,1,Hombre,5,7,0,1,1,1,1,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8333333333333334,-0.3333333333333333,0.1666666666666666,CON
Suj_027,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 1,1,2.2,5.0,1,1,1,Mujer,3,4,0,1,1,1,1,0.8333333333333334,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.1666666666666667,0.1666666666666667,CON
Suj_028,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 1,1,1.6,4.666666666666667,0,1,1,Mujer,2,5,0,0,1,1,0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666,CON
Suj_031,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 2,0,2.6,4.666666666666667,-1,-1,-1,Mujer,2,3,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON
Suj_033,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 1,1,1.0,4.666666666666667,1,-1,1,Mujer,2,4,0,1,-1,1,1,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,CON
Suj_034,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 2,0,1.0,5.666666666666667,-1,-1,-1,Hombre,2,4,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON
Suj_035,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 2,0,1.6,4.0,1,1,1,Mujer,3,2,0,1,1,1,1,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,0.1666666666666666,0.5,0.6666666666666666,-0.3333333333333333,-0.1666666666666666,CON
Suj_036,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 2,0,2.1,4.833333333333333,0,-1,-1,Mujer,6,8,0,0,-1,-1,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.1666666666666666,0.0,-0.1666666666666666,CON
Suj_037,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 2,0,1.4,3.333333333333333,-1,-1,-1,Mujer,4,3,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON
Suj_038,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 1,1,3.0,4.333333333333333,-1,-1,-1,Mujer,4,4,0,-1,-1,-1,-1,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.0,0.5,0.1666666666666666,CON
