ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Dilema_Opcion,Categoria,Respuesta
Suj_014,Respuestas de formulario 2,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar
Suj_014,Respuestas de formulario 2,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar
Suj_014,Respuestas de formulario 2,-,Bloque_0,Atencion,-,1,Opción 3
Suj_014,Respuestas de formulario 2,ABC,Bloque_1,Bloque_CON,1,1,Cooperar
Suj_014,Respuestas de formulario 2,ABC,Bloque_1,Bloque_CON,2,2,Cooperar
Suj_014,Respuestas de formulario 2,AEF,Bloque_3,Bloque_CON,1,3,Cooperar
Suj_014,Respuestas de formulario 2,AEF,Bloque_3,Bloque_CON,2,4,Cooperar
Suj_014,Respuestas de formulario 2,ALM,Bloque_5,Bloque_CON,1,5,Cooperar
Suj_014,Respuestas de formulario 2,ALM,Bloque_5,Bloque_CON,2,6,Cooperar
Suj_014,Respuestas de formulario 2,AGH,Bloque_7,Bloque_CON,1,7,Cooperar
Suj_014,Respuestas de formulario 2,AGH,Bloque_7,Bloque_CON,2,8,Cooperar
Suj_014,Respuestas de formulario 2,AJK,Bloque_9,Bloque_CON,1,9,Cooperar
Suj_014,Respuestas de formulario 2,AJK,Bloque_9,Bloque_CON,2,10,Cooperar
Suj_014,Respuestas de formulario 2,AQS,Bloque_11,Bloque_CON,1,11,Cooperar
Suj_014,Respuestas de formulario 2,AQS,Bloque_11,Bloque_CON,2,12,Cooperar
Suj_014,Respuestas de formulario 2,-,,Atencion,-,2,Opción 3
Suj_015,Respuestas de formulario 2,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar
Suj_015,Respuestas de formulario 2,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar
Suj_015,Respuestas de formulario 2,ALM,Bloque_5,Bloque_SIN,-,3,No cooperar
Suj_015,Respuestas de formulario 2,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar
Suj_015,Respuestas de formulario 2,AJK,Bloque_9,Bloque_SIN,-,5,No cooperar
Suj_015,Respuestas de formulario 2,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar
Suj_015,Respuestas de formulario 2,-,Bloque_0,Atencion,-,1,Opción 3
Suj_015,Respuestas de formulario 2,ABC,Bloque_1,Bloque_CON,1,1,Cooperar
Suj_015,Respuestas de formulario 2,ABC,Bloque_1,Bloque_CON,2,2,No cooperar
Suj_015,Respuestas de formulario 2,AEF,Bloque_3,Bloque_CON,1,3,Cooperar
Suj_015,Respuestas de formulario 2,AEF,Bloque_3,Bloque_CON,2,4,Cooperar
Suj_015,Respuestas de formulario 2,ALM,Bloque_5,Bloque_CON,1,5,No cooperar
Suj_015,Respuestas de formulario 2,ALM,Bloque_5,Bloque_CON,2,6,Cooperar
